CASE_KEY,ACTIVITY,EVENTTIME,SORTING,RESOURCE
4,SendConfirmationMail,2024-09-16 06:01:51,4,System_1173
4,ReviewDocuments,2024-09-17 08:12:43,5,Sachbearbeiter3
4,RequestResubmission,2024-09-18 13:43:23,6,Sachbearbeiter3
4,ReceiveResubmission,2024-09-18 13:48:49,7,System_3533
4,ReviewDocuments,2024-10-08 11:16:30,8,Sachbearbeiter3
4,StoreApplication,2024-10-18 12:19:02,9,Sachbearbeiter1
4,AssessApplication,2024-11-01 11:58:19,10,Sachbearbeiter2
4,CalculateClaim,2024-11-15 12:07:55,11,Sachbearbeiter2
4,Write Notification,2024-11-26 11:30:08,12,Sachbearbeiter1
4,SendNotification,2024-12-04 07:55:10,13,Sachbearbeiter1
5,GenerateConfirmationMail,2024-09-15 00:06:06,1,System_10
5,SendConfirmationMail,2024-09-15 00:06:09,2,System_11
5,ReviewDocuments,2024-09-16 07:30:00,3,Sachbearbeiter2
5,StoreApplication,2024-09-17 08:28:56,4,Sachbearbeiter1
5,AssessApplication,2024-09-18 13:50:01,5,Sachbearbeiter2
5,CalculateClaim,2024-09-23 15:37:07,6,Sachbearbeiter1
5,Write Notification,2024-10-04 14:39:55,7,Sachbearbeiter2
5,SendNotification,2024-10-17 09:21:15,8,Sachbearbeiter3
6,SendMailToParents,2024-09-15 00:08:48,1,System_12
6,ReceiveParentsData,2024-09-15 00:08:53,2,System_13
6,GenerateConfirmationMail,2024-09-16 10:01:28,3,System_1324
6,SendConfirmationMail,2024-09-16 10:01:29,4,System_1325
6,ReviewDocuments,2024-09-17 11:00:44,5,Sachbearbeiter1
6,RequestResubmission,2024-09-19 08:39:48,6,Sachbearbeiter2
6,ReceiveResubmission,2024-09-19 08:44:08,7,System_4311
6,ReviewDocuments,2024-09-30 09:15:03,8,Sachbearbeiter1
6,RequestResubmission,2024-10-11 12:17:15,9,Sachbearbeiter3
6,ReceiveResubmission,2024-10-11 12:23:13,10,System_7669
6,ReviewDocuments,2024-10-24 07:51:30,11,Sachbearbeiter1
6,StoreApplication,2024-11-07 14:54:36,12,Sachbearbeiter3
6,AssessApplication,2024-11-20 11:51:17,13,Sachbearbeiter3
6,CalculateClaim,2024-11-28 15:26:20,14,Sachbearbeiter2
6,Write Notification,2024-12-05 13:26:26,15,Sachbearbeiter1
6,SendNotification,2024-12-10 11:55:45,16,Sachbearbeiter3
7,GenerateConfirmationMail,2024-09-15 00:13:36,1,System_14
7,SendConfirmationMail,2024-09-15 00:13:39,2,System_15
7,ReviewDocuments,2024-09-16 07:30:00,3,Sachbearbeiter3
7,StoreApplication,2024-09-17 08:40:01,4,Sachbearbeiter1
7,AssessApplication,2024-09-18 13:57:35,5,Sachbearbeiter3
7,CalculateClaim,2024-09-23 15:59:20,6,Sachbearbeiter2
7,Write Notification,2024-10-07 11:11:08,7,Sachbearbeiter3
7,SendNotification,2024-10-17 13:43:06,8,Sachbearbeiter3
8,SendMailToParents,2024-09-15 00:18:34,1,System_16
8,ReceiveParentsData,2024-09-15 00:18:38,2,System_17
8,GenerateConfirmationMail,2024-09-15 20:03:50,3,System_942
8,SendConfirmationMail,2024-09-15 20:03:51,4,System_943
8,ReviewDocuments,2024-09-16 13:48:30,5,Sachbearbeiter3
8,StoreApplication,2024-09-17 14:02:31,6,Sachbearbeiter3
8,AssessApplication,2024-09-19 13:24:28,7,Sachbearbeiter2
8,WriteRejection,2024-09-26 12:45:08,8,Sachbearbeiter3
8,SendRejection,2024-10-09 14:39:28,9,Sachbearbeiter3
9,SendMailToParents,2024-09-15 00:20:47,1,System_18
9,ReceiveParentsData,2024-09-15 00:20:51,2,System_19
9,GenerateConfirmationMail,2024-09-15 10:32:41,3,System_488
9,SendConfirmationMail,2024-09-15 10:32:42,4,System_489
9,ReviewDocuments,2024-09-16 10:16:15,5,Sachbearbeiter3
9,RequestResubmission,2024-09-17 11:20:23,6,Sachbearbeiter1
9,ReceiveResubmission,2024-09-17 11:24:40,7,System_2263
9,ReviewDocuments,2024-10-07 10:05:05,8,Sachbearbeiter3
9,StoreApplication,2024-10-17 13:21:08,9,Sachbearbeiter1
9,AssessApplication,2024-10-31 09:46:48,10,Sachbearbeiter2
9,CalculateClaim,2024-11-14 12:56:17,11,Sachbearbeiter2
9,Write Notification,2024-11-25 14:23:41,12,Sachbearbeiter1
9,SendNotification,2024-12-03 12:24:44,13,Sachbearbeiter1
10,SendMailToParents,2024-09-15 00:23:14,1,System_20
10,ReceiveParentsData,2024-09-15 00:23:16,2,System_21
10,GenerateConfirmationMail,2024-09-24 20:33:14,3,System_6789
10,SendConfirmationMail,2024-09-24 20:33:16,4,System_6790
10,ReviewDocuments,2024-10-08 09:13:49,5,Sachbearbeiter1
10,RequestResubmission,2024-10-18 11:19:33,6,Sachbearbeiter1
10,ReceiveResubmission,2024-10-18 11:24:03,7,System_7967
10,ReviewDocuments,2024-11-04 08:18:20,8,Sachbearbeiter2
10,StoreApplication,2024-11-15 15:21:47,9,Sachbearbeiter1
10,AssessApplication,2024-11-26 13:30:33,10,Sachbearbeiter1
10,CalculateClaim,2024-12-04 10:01:19,11,Sachbearbeiter1
10,Write Notification,2024-12-09 14:11:43,12,Sachbearbeiter3
10,SendNotification,2024-12-11 15:26:36,13,Sachbearbeiter1
11,SendMailToParents,2024-09-15 00:25:09,1,System_22
11,ReceiveParentsData,2024-09-15 00:25:11,2,System_23
11,GenerateConfirmationMail,2024-09-23 09:32:37,3,System_6500
11,SendConfirmationMail,2024-09-23 09:32:38,4,System_6501
11,ReviewDocuments,2024-10-04 07:40:25,5,Sachbearbeiter3
11,StoreApplication,2024-10-16 09:58:25,6,Sachbearbeiter3
11,AssessApplication,2024-10-29 15:07:25,7,Sachbearbeiter3
11,CalculateClaim,2024-11-13 12:33:31,8,Sachbearbeiter3
11,Write Notification,2024-11-25 07:55:56,9,Sachbearbeiter1
11,SendNotification,2024-12-03 08:23:40,10,Sachbearbeiter3
12,SendMailToParents,2024-09-15 00:25:19,1,System_24
12,ReceiveParentsData,2024-09-15 00:25:22,2,System_25
12,GenerateConfirmationMail,2024-09-19 22:41:43,3,System_5180
12,SendConfirmationMail,2024-09-19 22:41:44,4,System_5181
12,ReviewDocuments,2024-09-27 12:50:26,5,Sachbearbeiter3
12,StoreApplication,2024-10-10 13:28:07,6,Sachbearbeiter1
12,AssessApplication,2024-10-22 14:28:18,7,Sachbearbeiter3
12,CalculateClaim,2024-11-06 10:51:39,8,Sachbearbeiter3
12,Write Notification,2024-11-19 11:09:05,9,Sachbearbeiter2
12,SendNotification,2024-11-28 08:18:08,10,Sachbearbeiter2
13,GenerateConfirmationMail,2024-09-15 00:30:13,1,System_26
13,SendConfirmationMail,2024-09-15 00:30:14,2,System_27
13,ReviewDocuments,2024-09-16 07:38:16,3,Sachbearbeiter2
13,RequestResubmission,2024-09-17 08:41:57,4,Sachbearbeiter3
13,ReceiveResubmission,2024-09-17 08:48:34,5,System_2107
13,ReviewDocuments,2024-10-08 08:33:18,6,Sachbearbeiter2
13,StoreApplication,2024-10-18 11:05:23,7,Sachbearbeiter1
13,AssessApplication,2024-11-01 09:54:38,8,Sachbearbeiter2
13,CalculateClaim,2024-11-15 09:38:03,9,Sachbearbeiter3
13,Write Notification,2024-11-26 10:24:07,10,Sachbearbeiter3
13,SendNotification,2024-12-03 15:54:38,11,Sachbearbeiter3
14,SendMailToParents,2024-09-15 00:30:55,1,System_28
14,ReceiveParentsData,2024-09-15 00:30:59,2,System_29
14,GenerateConfirmationMail,2024-09-20 09:07:16,3,System_5454
14,SendConfirmationMail,2024-09-20 09:07:18,4,System_5455
14,ReviewDocuments,2024-09-30 10:10:03,5,Sachbearbeiter1
14,RequestResubmission,2024-10-11 13:14:59,6,Sachbearbeiter1
14,ReceiveResubmission,2024-10-11 13:21:24,7,System_7678
14,ReviewDocuments,2024-10-24 11:39:46,8,Sachbearbeiter2
14,StoreApplication,2024-11-08 08:17:43,9,Sachbearbeiter3
14,AssessApplication,2024-11-20 14:18:10,10,Sachbearbeiter3
14,CalculateClaim,2024-11-29 09:07:44,11,Sachbearbeiter1
14,Write Notification,2024-12-05 15:05:03,12,Sachbearbeiter3
14,SendNotification,2024-12-10 12:53:44,13,Sachbearbeiter1
15,SendMailToParents,2024-09-15 00:34:40,1,System_30
15,ReceiveParentsData,2024-09-15 00:34:44,2,System_31
15,GenerateConfirmationMail,2024-09-21 11:22:21,3,System_5960
15,SendConfirmationMail,2024-09-21 11:22:24,4,System_5961
15,ReviewDocuments,2024-10-01 15:59:01,5,Sachbearbeiter1
15,StoreApplication,2024-10-14 15:57:29,6,Sachbearbeiter1
15,AssessApplication,2024-10-25 15:40:05,7,Sachbearbeiter2
15,CalculateClaim,2024-11-11 11:12:35,8,Sachbearbeiter3
15,Write Notification,2024-11-21 13:20:32,9,Sachbearbeiter3
15,SendNotification,2024-11-29 14:58:09,10,Sachbearbeiter3
16,SendMailToParents,2024-09-15 00:35:57,1,System_32
16,ReceiveParentsData,2024-09-15 00:36:01,2,System_33
16,GenerateConfirmationMail,2024-09-16 16:03:20,3,System_1602
16,SendConfirmationMail,2024-09-16 16:03:22,4,System_1603
16,ReviewDocuments,2024-09-17 15:39:36,5,Sachbearbeiter2
16,StoreApplication,2024-09-19 15:20:02,6,Sachbearbeiter2
16,AssessApplication,2024-09-26 15:46:51,7,Sachbearbeiter2
16,WriteRejection,2024-10-10 08:57:05,8,Sachbearbeiter1
16,SendRejection,2024-10-22 09:45:49,9,Sachbearbeiter1
17,SendMailToParents,2024-09-15 00:41:25,1,System_34
17,ReceiveParentsData,2024-09-15 00:41:28,2,System_36
17,GenerateConfirmationMail,2024-09-29 23:13:59,3,System_7218
17,SendConfirmationMail,2024-09-29 23:14:00,4,System_7219
17,ReviewDocuments,2024-10-11 10:39:03,5,Sachbearbeiter2
17,StoreApplication,2024-10-23 11:21:44,6,Sachbearbeiter3
17,AssessApplication,2024-11-07 09:48:36,7,Sachbearbeiter1
17,CalculateClaim,2024-11-20 08:51:54,8,Sachbearbeiter1
17,Write Notification,2024-11-28 13:30:03,9,Sachbearbeiter3
17,SendNotification,2024-12-05 12:05:09,10,Sachbearbeiter2
18,SendMailToParents,2024-09-15 00:41:27,1,System_35
18,ReceiveParentsData,2024-09-15 00:41:31,2,System_37
18,GenerateConfirmationMail,2024-09-19 12:03:39,3,System_4530
18,SendConfirmationMail,2024-09-19 12:03:41,4,System_4531
18,ReviewDocuments,2024-09-26 10:09:53,5,Sachbearbeiter2
18,RequestResubmission,2024-10-09 12:18:28,6,Sachbearbeiter2
18,ReceiveResubmission,2024-10-09 12:25:38,7,System_7555
18,ReviewDocuments,2024-10-24 13:25:53,8,Sachbearbeiter3
18,RequestResubmission,2024-11-08 09:04:37,9,Sachbearbeiter3
18,ReceiveResubmission,2024-11-08 09:09:10,10,System_8188
18,ReviewDocuments,2024-11-25 08:38:41,11,Sachbearbeiter3
18,RequestResubmission,2024-12-03 09:00:00,12,Sachbearbeiter1
18,ReceiveResubmission,2024-12-03 09:05:07,13,System_8401
18,ReviewDocuments,2024-12-11 10:50:41,14,Sachbearbeiter3
18,StoreApplication,2024-12-12 15:57:06,15,Sachbearbeiter2
18,AssessApplication,2024-12-13 14:54:26,16,Sachbearbeiter2
18,WriteRejection,2024-12-16 11:29:03,17,Sachbearbeiter3
18,SendRejection,2024-12-16 15:40:33,18,Sachbearbeiter1
19,SendMailToParents,2024-09-15 00:47:08,1,System_38
19,ReceiveParentsData,2024-09-15 00:47:11,2,System_39
19,GenerateConfirmationMail,2024-09-21 13:01:15,3,System_5978
19,SendConfirmationMail,2024-09-21 13:01:16,4,System_5979
19,ReviewDocuments,2024-10-02 08:06:56,5,Sachbearbeiter3
19,StoreApplication,2024-10-15 07:43:08,6,Sachbearbeiter1
19,AssessApplication,2024-10-28 09:22:57,7,Sachbearbeiter3
19,CalculateClaim,2024-11-11 14:44:03,8,Sachbearbeiter2
19,Write Notification,2024-11-21 15:44:28,9,Sachbearbeiter1
19,SendNotification,2024-12-02 09:35:40,10,Sachbearbeiter1
20,GenerateConfirmationMail,2024-09-15 00:52:45,1,System_40
20,SendConfirmationMail,2024-09-15 00:52:46,2,System_41
20,ReviewDocuments,2024-09-16 07:40:22,3,Sachbearbeiter1
20,StoreApplication,2024-09-17 08:52:52,4,Sachbearbeiter2
20,AssessApplication,2024-09-18 14:11:27,5,Sachbearbeiter1
20,CalculateClaim,2024-09-24 07:32:24,6,Sachbearbeiter3
20,Write Notification,2024-10-07 11:16:16,7,Sachbearbeiter3
20,SendNotification,2024-10-17 13:44:38,8,Sachbearbeiter1
21,SendMailToParents,2024-09-15 00:56:33,1,System_42
21,ReceiveParentsData,2024-09-15 00:56:37,2,System_43
21,GenerateConfirmationMail,2024-09-16 14:01:03,3,System_1488
21,SendConfirmationMail,2024-09-16 14:01:05,4,System_1489
21,ReviewDocuments,2024-09-17 14:04:48,5,Sachbearbeiter3
21,StoreApplication,2024-09-19 13:34:06,6,Sachbearbeiter1
21,AssessApplication,2024-09-26 12:44:42,7,Sachbearbeiter1
21,CalculateClaim,2024-10-09 14:40:46,8,Sachbearbeiter2
21,Write Notification,2024-10-21 15:31:01,9,Sachbearbeiter2
21,SendNotification,2024-11-05 10:39:47,10,Sachbearbeiter3
22,SendMailToParents,2024-09-15 01:03:03,1,System_44
22,ReceiveParentsData,2024-09-15 01:03:07,2,System_45
22,GenerateConfirmationMail,2024-09-19 11:21:20,3,System_4479
22,SendConfirmationMail,2024-09-19 11:21:22,4,System_4480
22,ReviewDocuments,2024-09-26 08:48:03,5,Sachbearbeiter2
22,RequestResubmission,2024-10-09 11:30:20,6,Sachbearbeiter2
22,ReceiveResubmission,2024-10-09 11:35:33,7,System_7551
22,ReviewDocuments,2024-10-22 09:41:09,8,Sachbearbeiter2
22,RequestResubmission,2024-11-05 13:44:59,9,Sachbearbeiter1
22,ReceiveResubmission,2024-11-05 13:51:30,10,System_8132
22,ReviewDocuments,2024-11-20 13:04:31,11,Sachbearbeiter3
22,StoreApplication,2024-11-29 07:49:21,12,Sachbearbeiter3
22,AssessApplication,2024-12-05 14:17:15,13,Sachbearbeiter2
22,CalculateClaim,2024-12-10 12:25:50,14,Sachbearbeiter2
22,Write Notification,2024-12-12 12:15:08,15,Sachbearbeiter3
22,SendNotification,2024-12-13 12:14:36,16,Sachbearbeiter3
23,SendMailToParents,2024-09-15 01:08:11,1,System_46
23,ReceiveParentsData,2024-09-15 01:08:16,2,System_47
23,GenerateConfirmationMail,2024-09-16 19:09:56,3,System_1754
23,SendConfirmationMail,2024-09-16 19:09:58,4,System_1755
23,ReviewDocuments,2024-09-18 08:43:58,5,Sachbearbeiter3
23,RequestResubmission,2024-09-23 09:17:08,6,Sachbearbeiter3
23,ReceiveResubmission,2024-09-23 09:22:45,7,System_6495
23,ReviewDocuments,2024-10-09 09:29:57,8,Sachbearbeiter1
23,StoreApplication,2024-10-21 11:50:35,9,Sachbearbeiter2
23,AssessApplication,2024-11-04 15:47:34,10,Sachbearbeiter3
23,CalculateClaim,2024-11-18 11:11:38,11,Sachbearbeiter3
23,Write Notification,2024-11-27 11:15:21,12,Sachbearbeiter2
23,SendNotification,2024-12-04 14:16:26,13,Sachbearbeiter3
24,SendMailToParents,2024-09-15 01:09:36,1,System_48
24,ReceiveParentsData,2024-09-15 01:09:39,2,System_49
24,GenerateConfirmationMail,2024-09-19 21:08:56,3,System_5086
24,SendConfirmationMail,2024-09-19 21:08:59,4,System_5087
24,ReviewDocuments,2024-09-27 11:35:20,5,Sachbearbeiter1
24,StoreApplication,2024-10-10 12:58:36,6,Sachbearbeiter1
24,AssessApplication,2024-10-22 13:36:26,7,Sachbearbeiter1
24,WriteRejection,2024-11-06 10:03:43,8,Sachbearbeiter2
24,SendRejection,2024-11-19 10:41:07,9,Sachbearbeiter2
25,SendMailToParents,2024-09-15 01:10:37,1,System_50
25,ReceiveParentsData,2024-09-15 01:10:41,2,System_51
25,GenerateConfirmationMail,2024-09-26 08:31:26,3,System_6969
25,SendConfirmationMail,2024-09-26 08:31:28,4,System_6970
25,ReviewDocuments,2024-10-09 11:00:22,5,Sachbearbeiter2
25,StoreApplication,2024-10-21 12:58:55,6,Sachbearbeiter1
25,AssessApplication,2024-11-05 08:40:52,7,Sachbearbeiter2
25,CalculateClaim,2024-11-18 12:46:02,8,Sachbearbeiter2
25,Write Notification,2024-11-27 12:04:53,9,Sachbearbeiter2
25,SendNotification,2024-12-04 14:35:38,10,Sachbearbeiter2
26,GenerateConfirmationMail,2024-09-15 01:10:51,1,System_52
26,SendConfirmationMail,2024-09-15 01:10:53,2,System_53
26,ReviewDocuments,2024-09-16 07:42:14,3,Sachbearbeiter3
26,RequestResubmission,2024-09-17 08:48:34,4,Sachbearbeiter2
26,ReceiveResubmission,2024-09-17 08:52:52,5,System_2114
26,ReviewDocuments,2024-09-20 09:49:11,6,Sachbearbeiter1
26,RequestResubmission,2024-09-30 11:23:49,7,Sachbearbeiter2
26,ReceiveResubmission,2024-09-30 11:28:35,8,System_7255
26,ReviewDocuments,2024-10-16 08:52:42,9,Sachbearbeiter3
26,RequestResubmission,2024-10-29 14:38:36,10,Sachbearbeiter2
26,ReceiveResubmission,2024-10-29 14:44:23,11,System_8091
26,ReviewDocuments,2024-11-13 13:02:19,12,Sachbearbeiter3
26,StoreApplication,2024-11-25 08:09:01,13,Sachbearbeiter2
26,AssessApplication,2024-12-03 08:28:02,14,Sachbearbeiter2
26,CalculateClaim,2024-12-09 08:41:28,15,Sachbearbeiter1
26,Write Notification,2024-12-11 12:34:55,16,Sachbearbeiter1
26,SendNotification,2024-12-13 08:37:05,17,Sachbearbeiter1
27,SendMailToParents,2024-09-15 01:13:41,1,System_54
27,ReceiveParentsData,2024-09-15 01:13:44,2,System_55
27,GenerateConfirmationMail,2024-09-15 05:35:58,3,System_290
27,SendConfirmationMail,2024-09-15 05:36:00,4,System_291
27,ReviewDocuments,2024-09-16 08:56:56,5,Sachbearbeiter1
27,StoreApplication,2024-09-17 10:05:15,6,Sachbearbeiter3
27,AssessApplication,2024-09-18 15:49:26,7,Sachbearbeiter2
27,WriteRejection,2024-09-25 11:19:52,8,Sachbearbeiter3
27,SendRejection,2024-10-08 13:20:46,9,Sachbearbeiter3
28,GenerateConfirmationMail,2024-09-15 01:18:00,1,System_56
28,SendConfirmationMail,2024-09-15 01:18:02,2,System_57
28,ReviewDocuments,2024-09-16 07:47:22,3,Sachbearbeiter2
28,StoreApplication,2024-09-17 08:58:36,4,Sachbearbeiter3
28,AssessApplication,2024-09-18 14:24:54,5,Sachbearbeiter2
28,CalculateClaim,2024-09-24 08:25:11,6,Sachbearbeiter2
28,Write Notification,2024-10-07 11:56:37,7,Sachbearbeiter1
28,SendNotification,2024-10-17 14:04:39,8,Sachbearbeiter3
29,SendMailToParents,2024-09-15 01:18:03,1,System_58
29,ReceiveParentsData,2024-09-15 01:18:07,2,System_60
29,GenerateConfirmationMail,2024-09-16 07:51:52,3,System_1188
29,SendConfirmationMail,2024-09-16 07:51:54,4,System_1189
29,ReviewDocuments,2024-09-17 08:48:34,5,Sachbearbeiter3
29,StoreApplication,2024-09-18 14:22:07,6,Sachbearbeiter1
29,AssessApplication,2024-09-24 07:37:04,7,Sachbearbeiter1
29,CalculateClaim,2024-10-07 11:13:56,8,Sachbearbeiter1
29,Write Notification,2024-10-17 13:46:52,9,Sachbearbeiter1
29,SendNotification,2024-10-31 10:35:42,10,Sachbearbeiter2
30,SendMailToParents,2024-09-15 01:18:03,1,System_59
30,ReceiveParentsData,2024-09-15 01:18:07,2,System_61
30,GenerateConfirmationMail,2024-09-17 08:46:24,3,System_2105
30,SendConfirmationMail,2024-09-17 08:46:27,4,System_2106
30,ReviewDocuments,2024-09-18 14:00:09,5,Sachbearbeiter2
30,StoreApplication,2024-09-23 15:48:12,6,Sachbearbeiter3
30,AssessApplication,2024-10-04 14:38:12,7,Sachbearbeiter1
30,CalculateClaim,2024-10-17 09:25:35,8,Sachbearbeiter2
30,Write Notification,2024-10-30 14:59:31,9,Sachbearbeiter2
30,SendNotification,2024-11-14 08:32:06,10,Sachbearbeiter1
31,GenerateConfirmationMail,2024-09-15 01:21:50,1,System_62
31,SendConfirmationMail,2024-09-15 01:21:52,2,System_63
31,ReviewDocuments,2024-09-16 07:51:02,3,Sachbearbeiter3
31,StoreApplication,2024-09-17 08:55:08,4,Sachbearbeiter2
31,AssessApplication,2024-09-18 14:17:19,5,Sachbearbeiter3
31,CalculateClaim,2024-09-24 07:49:04,6,Sachbearbeiter1
31,Write Notification,2024-10-07 11:38:07,7,Sachbearbeiter3
31,SendNotification,2024-10-17 13:52:42,8,Sachbearbeiter1
32,SendMailToParents,2024-09-15 01:23:06,1,System_64
32,ReceiveParentsData,2024-09-15 01:23:10,2,System_65
32,GenerateConfirmationMail,2024-09-25 02:45:51,3,System_6837
32,SendConfirmationMail,2024-09-25 02:45:53,4,System_6838
32,ReviewDocuments,2024-10-08 10:40:56,5,Sachbearbeiter1
32,StoreApplication,2024-10-18 12:00:09,6,Sachbearbeiter1
32,AssessApplication,2024-11-01 11:19:53,7,Sachbearbeiter2
32,CalculateClaim,2024-11-15 11:29:04,8,Sachbearbeiter3
32,Write Notification,2024-11-26 11:09:14,9,Sachbearbeiter2
32,SendNotification,2024-12-04 07:44:53,10,Sachbearbeiter1
33,SendMailToParents,2024-09-15 01:25:33,1,System_66
33,ReceiveParentsData,2024-09-15 01:25:37,2,System_67
33,GenerateConfirmationMail,2024-09-17 10:39:48,3,System_2207
33,SendConfirmationMail,2024-09-17 10:39:49,4,System_2208
33,ReviewDocuments,2024-09-19 08:01:08,5,Sachbearbeiter3
33,StoreApplication,2024-09-25 12:13:08,6,Sachbearbeiter1
33,AssessApplication,2024-10-08 14:01:02,7,Sachbearbeiter1
33,CalculateClaim,2024-10-18 15:32:19,8,Sachbearbeiter2
33,Write Notification,2024-11-04 07:40:06,9,Sachbearbeiter1
33,SendNotification,2024-11-15 15:07:53,10,Sachbearbeiter2
34,GenerateConfirmationMail,2024-09-15 01:27:59,1,System_68
34,SendConfirmationMail,2024-09-15 01:28:01,2,System_69
34,ReviewDocuments,2024-09-16 07:53:26,3,Sachbearbeiter1
34,StoreApplication,2024-09-17 08:57:50,4,Sachbearbeiter2
34,AssessApplication,2024-09-18 14:24:10,5,Sachbearbeiter1
34,CalculateClaim,2024-09-24 08:02:34,6,Sachbearbeiter3
34,Write Notification,2024-10-07 11:43:50,7,Sachbearbeiter3
34,SendNotification,2024-10-17 13:55:25,8,Sachbearbeiter1
35,SendMailToParents,2024-09-15 01:30:27,1,System_70
35,ReceiveParentsData,2024-09-15 01:30:31,2,System_71
35,GenerateConfirmationMail,2024-09-26 20:15:42,3,System_7025
35,SendConfirmationMail,2024-09-26 20:15:44,4,System_7026
35,ReviewDocuments,2024-10-10 09:20:46,5,Sachbearbeiter3
35,StoreApplication,2024-10-22 10:12:26,6,Sachbearbeiter3
35,AssessApplication,2024-11-05 14:01:39,7,Sachbearbeiter3
35,CalculateClaim,2024-11-19 07:36:06,8,Sachbearbeiter2
35,Write Notification,2024-11-27 15:01:26,9,Sachbearbeiter2
35,SendNotification,2024-12-05 07:57:32,10,Sachbearbeiter1
36,GenerateConfirmationMail,2024-09-15 01:33:13,1,System_72
36,SendConfirmationMail,2024-09-15 01:33:16,2,System_73
36,ReviewDocuments,2024-09-16 07:57:31,3,Sachbearbeiter3
36,StoreApplication,2024-09-17 08:59:53,4,Sachbearbeiter2
36,AssessApplication,2024-09-18 14:26:52,5,Sachbearbeiter3
36,CalculateClaim,2024-09-24 08:06:23,6,Sachbearbeiter1
