case_id,activity,enable_time,start_time,end_time,resource
32,ReceiveParentsData,2024-09-15 01:23:10.792314+00:00,2024-09-15 01:23:10.792314+00:00,2024-09-25 02:45:51.475137+00:00,System_65
33,SendMailToParents,2024-09-15 01:25:33.741194+00:00,2024-09-15 01:25:33.741194+00:00,2024-09-15 01:25:37.795105+00:00,System_66
33,ReceiveParentsData,2024-09-15 01:25:37.795105+00:00,2024-09-15 01:25:37.795105+00:00,2024-09-17 10:39:48.521301+00:00,System_67
34,GenerateConfirmationMail,2024-09-15 01:27:59.160198+00:00,2024-09-15 01:27:59.160198+00:00,2024-09-15 01:28:01.373600+00:00,System_68
34,SendConfirmationMail,2024-09-15 01:28:01.373600+00:00,2024-09-15 01:28:01.373600+00:00,2024-09-15 01:28:05.539344+00:00,System_69
34,ReviewDocuments,2024-09-15 01:28:05.539344+00:00,2024-09-16 07:53:26.240736+00:00,2024-09-16 07:58:44.621460+00:00,Sachbearbeiter1
35,SendMailToParents,2024-09-15 01:30:27.730053+00:00,2024-09-15 01:30:27.730053+00:00,2024-09-15 01:30:31.212704+00:00,System_70
35,ReceiveParentsData,2024-09-15 01:30:31.212704+00:00,2024-09-15 01:30:31.212704+00:00,2024-09-26 20:15:42.722038+00:00,System_71
36,GenerateConfirmationMail,2024-09-15 01:33:13.428338+00:00,2024-09-15 01:33:13.428338+00:00,2024-09-15 01:33:16.023444+00:00,System_72
36,SendConfirmationMail,2024-09-15 01:33:16.023444+00:00,2024-09-15 01:33:16.023444+00:00,2024-09-15 01:33:20.993041+00:00,System_73
36,ReviewDocuments,2024-09-15 01:33:20.993041+00:00,2024-09-16 07:57:31.775240+00:00,2024-09-16 08:07:05.098780+00:00,Sachbearbeiter3
37,SendMailToParents,2024-09-15 01:39:16.157797+00:00,2024-09-15 01:39:16.157797+00:00,2024-09-15 01:39:19.957144+00:00,System_74
37,ReceiveParentsData,2024-09-15 01:39:19.957144+00:00,2024-09-15 01:39:19.957144+00:00,2024-09-20 11:45:20.571594+00:00,System_75
38,SendMailToParents,2024-09-15 01:41:29.636351+00:00,2024-09-15 01:41:29.636351+00:00,2024-09-15 01:41:33.543094+00:00,System_76
38,ReceiveParentsData,2024-09-15 01:41:33.543094+00:00,2024-09-15 01:41:33.543094+00:00,2024-09-19 20:35:49.450212+00:00,System_77
39,SendMailToParents,2024-09-15 01:41:55.890281+00:00,2024-09-15 01:41:55.890281+00:00,2024-09-15 01:41:58.872307+00:00,System_78
39,ReceiveParentsData,2024-09-15 01:41:58.872307+00:00,2024-09-15 01:41:58.872307+00:00,2024-09-19 05:31:28.585392+00:00,System_79
40,SendMailToParents,2024-09-15 01:45:14.846173+00:00,2024-09-15 01:45:14.846173+00:00,2024-09-15 01:45:19.365688+00:00,System_80
40,ReceiveParentsData,2024-09-15 01:45:19.365688+00:00,2024-09-15 01:45:19.365688+00:00,2024-10-04 06:58:10.046575+00:00,System_81
41,SendMailToParents,2024-09-15 01:46:44.622502+00:00,2024-09-15 01:46:44.622502+00:00,2024-09-15 01:46:48.009905+00:00,System_82
41,ReceiveParentsData,2024-09-15 01:46:48.009905+00:00,2024-09-15 01:46:48.009905+00:00,2024-09-16 17:31:59.232784+00:00,System_83
42,SendMailToParents,2024-09-15 01:47:38.201746+00:00,2024-09-15 01:47:38.201746+00:00,2024-09-15 01:47:41.441438+00:00,System_84
42,ReceiveParentsData,2024-09-15 01:47:41.441438+00:00,2024-09-15 01:47:41.441438+00:00,2024-09-19 20:02:07.774185+00:00,System_85
43,SendMailToParents,2024-09-15 01:50:45.653426+00:00,2024-09-15 01:50:45.653426+00:00,2024-09-15 01:50:48.655418+00:00,System_86
43,ReceiveParentsData,2024-09-15 01:50:48.655418+00:00,2024-09-15 01:50:48.655418+00:00,2024-09-30 23:27:34.294580+00:00,System_87
44,GenerateConfirmationMail,2024-09-15 01:52:16.760291+00:00,2024-09-15 01:52:16.760291+00:00,2024-09-15 01:52:18.244201+00:00,System_88
44,SendConfirmationMail,2024-09-15 01:52:18.244201+00:00,2024-09-15 01:52:18.244201+00:00,2024-09-15 01:52:21.078163+00:00,System_89
44,ReviewDocuments,2024-09-15 01:52:21.078163+00:00,2024-09-16 07:58:44.621460+00:00,2024-09-16 08:07:08.104408+00:00,Sachbearbeiter1
45,SendMailToParents,2024-09-15 01:56:29.666258+00:00,2024-09-15 01:56:29.666258+00:00,2024-09-15 01:56:32.381511+00:00,System_90
45,ReceiveParentsData,2024-09-15 01:56:32.381511+00:00,2024-09-15 01:56:32.381511+00:00,2024-09-15 19:47:23.372921+00:00,System_91
46,GenerateConfirmationMail,2024-09-15 01:57:40.467013+00:00,2024-09-15 01:57:40.467013+00:00,2024-09-15 01:57:43.380182+00:00,System_92
46,SendConfirmationMail,2024-09-15 01:57:43.380182+00:00,2024-09-15 01:57:43.380182+00:00,2024-09-15 01:57:45.411522+00:00,System_93
46,ReviewDocuments,2024-09-15 01:57:45.411522+00:00,2024-09-16 07:58:55.697279+00:00,2024-09-16 08:11:15.891691+00:00,Sachbearbeiter2
47,SendMailToParents,2024-09-15 01:57:50.914661+00:00,2024-09-15 01:57:50.914661+00:00,2024-09-15 01:57:54.632486+00:00,System_94
47,ReceiveParentsData,2024-09-15 01:57:54.632486+00:00,2024-09-15 01:57:54.632486+00:00,2024-09-28 14:48:53.259190+00:00,System_95
48,SendMailToParents,2024-09-15 01:58:57.222198+00:00,2024-09-15 01:58:57.222198+00:00,2024-09-15 01:59:01.389267+00:00,System_96
48,ReceiveParentsData,2024-09-15 01:59:01.389267+00:00,2024-09-15 01:59:01.389267+00:00,2024-09-16 17:12:00.711833+00:00,System_97
49,SendMailToParents,2024-09-15 01:59:48.447603+00:00,2024-09-15 01:59:48.447603+00:00,2024-09-15 01:59:53.325264+00:00,System_98
49,ReceiveParentsData,2024-09-15 01:59:53.325264+00:00,2024-09-15 01:59:53.325264+00:00,2024-09-17 02:59:07.720380+00:00,System_99
50,SendMailToParents,2024-09-15 02:00:12.895284+00:00,2024-09-15 02:00:12.895284+00:00,2024-09-15 02:00:15.804751+00:00,System_100
50,ReceiveParentsData,2024-09-15 02:00:15.804751+00:00,2024-09-15 02:00:15.804751+00:00,2024-09-15 08:04:49.652462+00:00,System_101
51,SendMailToParents,2024-09-15 02:02:31.094778+00:00,2024-09-15 02:02:31.094778+00:00,2024-09-15 02:02:34.424809+00:00,System_102
51,ReceiveParentsData,2024-09-15 02:02:34.424809+00:00,2024-09-15 02:02:34.424809+00:00,2024-09-20 06:44:12.485105+00:00,System_103
52,SendMailToParents,2024-09-15 02:05:29.086328+00:00,2024-09-15 02:05:29.086328+00:00,2024-09-15 02:05:31.099395+00:00,System_104
52,ReceiveParentsData,2024-09-15 02:05:31.099395+00:00,2024-09-15 02:05:31.099395+00:00,2024-09-19 23:54:28.460083+00:00,System_105
53,SendMailToParents,2024-09-15 02:06:12.392333+00:00,2024-09-15 02:06:12.392333+00:00,2024-09-15 02:06:15.240010+00:00,System_106
53,ReceiveParentsData,2024-09-15 02:06:15.240010+00:00,2024-09-15 02:06:15.240010+00:00,2024-09-22 15:41:24.134290+00:00,System_107
54,GenerateConfirmationMail,2024-09-15 02:08:20.356749+00:00,2024-09-15 02:08:20.356749+00:00,2024-09-15 02:08:21.915890+00:00,System_108
54,SendConfirmationMail,2024-09-15 02:08:21.915890+00:00,2024-09-15 02:08:21.915890+00:00,2024-09-15 02:08:25.672787+00:00,System_109
54,ReviewDocuments,2024-09-15 02:08:25.672787+00:00,2024-09-16 08:07:05.098780+00:00,2024-09-16 08:15:00.789359+00:00,Sachbearbeiter3
55,SendMailToParents,2024-09-15 02:15:44.373633+00:00,2024-09-15 02:15:44.373633+00:00,2024-09-15 02:15:47.497275+00:00,System_110
55,ReceiveParentsData,2024-09-15 02:15:47.497275+00:00,2024-09-15 02:15:47.497275+00:00,2024-10-02 07:50:31.484267+00:00,System_111
56,SendMailToParents,2024-09-15 02:16:18.392327+00:00,2024-09-15 02:16:18.392327+00:00,2024-09-15 02:16:21.183394+00:00,System_112
56,ReceiveParentsData,2024-09-15 02:16:21.183394+00:00,2024-09-15 02:16:21.183394+00:00,2024-09-20 02:10:47.755759+00:00,System_113
57,SendMailToParents,2024-09-15 02:19:10.493651+00:00,2024-09-15 02:19:10.493651+00:00,2024-09-15 02:19:15.331709+00:00,System_114
57,ReceiveParentsData,2024-09-15 02:19:15.331709+00:00,2024-09-15 02:19:15.331709+00:00,2024-09-16 07:40:52.615824+00:00,System_115
58,SendMailToParents,2024-09-15 02:23:28.012209+00:00,2024-09-15 02:23:28.012209+00:00,2024-09-15 02:23:31.728433+00:00,System_116
58,ReceiveParentsData,2024-09-15 02:23:31.728433+00:00,2024-09-15 02:23:31.728433+00:00,2024-09-18 09:47:49.723149+00:00,System_117
59,SendMailToParents,2024-09-15 02:24:10.167573+00:00,2024-09-15 02:24:10.167573+00:00,2024-09-15 02:24:14.148400+00:00,System_118
59,ReceiveParentsData,2024-09-15 02:24:14.148400+00:00,2024-09-15 02:24:14.148400+00:00,2024-09-18 01:41:33.622134+00:00,System_119
60,GenerateConfirmationMail,2024-09-15 02:26:16.080082+00:00,2024-09-15 02:26:16.080082+00:00,2024-09-15 02:26:18.804433+00:00,System_120
60,SendConfirmationMail,2024-09-15 02:26:18.804433+00:00,2024-09-15 02:26:18.804433+00:00,2024-09-15 02:26:22.734236+00:00,System_121
60,ReviewDocuments,2024-09-15 02:26:22.734236+00:00,2024-09-16 08:07:08.104408+00:00,2024-09-16 08:16:53.299023+00:00,Sachbearbeiter1
61,GenerateConfirmationMail,2024-09-15 02:27:56.365558+00:00,2024-09-15 02:27:56.365558+00:00,2024-09-15 02:27:57.866235+00:00,System_122
61,SendConfirmationMail,2024-09-15 02:27:57.866235+00:00,2024-09-15 02:27:57.866235+00:00,2024-09-15 02:28:01.921786+00:00,System_123
61,ReviewDocuments,2024-09-15 02:28:01.921786+00:00,2024-09-16 08:11:15.891691+00:00,2024-09-16 08:21:49.435791+00:00,Sachbearbeiter2
62,SendMailToParents,2024-09-15 02:28:18.555265+00:00,2024-09-15 02:28:18.555265+00:00,2024-09-15 02:28:22.222057+00:00,System_124
62,ReceiveParentsData,2024-09-15 02:28:22.222057+00:00,2024-09-15 02:28:22.222057+00:00,2024-09-17 09:07:36.708500+00:00,System_125
63,GenerateConfirmationMail,2024-09-15 02:28:58.756642+00:00,2024-09-15 02:28:58.756642+00:00,2024-09-15 02:28:59.760904+00:00,System_126
63,SendConfirmationMail,2024-09-15 02:28:59.760904+00:00,2024-09-15 02:28:59.760904+00:00,2024-09-15 02:29:02.480648+00:00,System_127
63,ReviewDocuments,2024-09-15 02:29:02.480648+00:00,2024-09-16 08:15:00.789359+00:00,2024-09-16 08:24:34.919712+00:00,Sachbearbeiter3
64,SendMailToParents,2024-09-15 02:32:59.527692+00:00,2024-09-15 02:32:59.527692+00:00,2024-09-15 02:33:04.232689+00:00,System_128
64,ReceiveParentsData,2024-09-15 02:33:04.232689+00:00,2024-09-15 02:33:04.232689+00:00,2024-09-21 19:38:22.101630+00:00,System_129
65,SendMailToParents,2024-09-15 02:34:07.208090+00:00,2024-09-15 02:34:07.208090+00:00,2024-09-15 02:34:11.238390+00:00,System_130
65,ReceiveParentsData,2024-09-15 02:34:11.238390+00:00,2024-09-15 02:34:11.238390+00:00,2024-09-28 20:43:02.730483+00:00,System_131
66,SendMailToParents,2024-09-15 02:34:40.040210+00:00,2024-09-15 02:34:40.040210+00:00,2024-09-15 02:34:43.807220+00:00,System_132
66,ReceiveParentsData,2024-09-15 02:34:43.807220+00:00,2024-09-15 02:34:43.807220+00:00,2024-10-10 17:55:46.624531+00:00,System_133
67,SendMailToParents,2024-09-15 02:37:51.419065+00:00,2024-09-15 02:37:51.419065+00:00,2024-09-15 02:37:54.156354+00:00,System_134
67,ReceiveParentsData,2024-09-15 02:37:54.156354+00:00,2024-09-15 02:37:54.156354+00:00,2024-09-16 11:49:16.943243+00:00,System_135
68,SendMailToParents,2024-09-15 02:43:38.818323+00:00,2024-09-15 02:43:38.818323+00:00,2024-09-15 02:43:42.117071+00:00,System_136
68,ReceiveParentsData,2024-09-15 02:43:42.117071+00:00,2024-09-15 02:43:42.117071+00:00,2024-09-15 13:46:01.815123+00:00,System_137
69,SendMailToParents,2024-09-15 02:45:04.270397+00:00,2024-09-15 02:45:04.270397+00:00,2024-09-15 02:45:07.382889+00:00,System_138
69,ReceiveParentsData,2024-09-15 02:45:07.382889+00:00,2024-09-15 02:45:07.382889+00:00,2024-09-15 12:45:26.228259+00:00,System_139
70,GenerateConfirmationMail,2024-09-15 02:47:01.574983+00:00,2024-09-15 02:47:01.574983+00:00,2024-09-15 02:47:02.712339+00:00,System_140
70,SendConfirmationMail,2024-09-15 02:47:02.712339+00:00,2024-09-15 02:47:02.712339+00:00,2024-09-15 02:47:07.266017+00:00,System_141
70,ReviewDocuments,2024-09-15 02:47:07.266017+00:00,2024-09-16 08:16:53.299023+00:00,2024-09-16 08:25:26.183173+00:00,Sachbearbeiter1
71,GenerateConfirmationMail,2024-09-15 02:48:50.706691+00:00,2024-09-15 02:48:50.706691+00:00,2024-09-15 02:48:52.564645+00:00,System_142
71,SendConfirmationMail,2024-09-15 02:48:52.564645+00:00,2024-09-15 02:48:52.564645+00:00,2024-09-15 02:48:56.633186+00:00,System_143
71,ReviewDocuments,2024-09-15 02:48:56.633186+00:00,2024-09-16 08:21:49.435791+00:00,2024-09-16 08:33:22.591588+00:00,Sachbearbeiter2
72,GenerateConfirmationMail,2024-09-15 02:52:47.346419+00:00,2024-09-15 02:52:47.346419+00:00,2024-09-15 02:52:48.434466+00:00,System_144
72,SendConfirmationMail,2024-09-15 02:52:48.434466+00:00,2024-09-15 02:52:48.434466+00:00,2024-09-15 02:52:52.766712+00:00,System_145
72,ReviewDocuments,2024-09-15 02:52:52.766712+00:00,2024-09-16 08:24:34.919712+00:00,2024-09-16 08:32:15.280026+00:00,Sachbearbeiter3
73,SendMailToParents,2024-09-15 02:53:18.471739+00:00,2024-09-15 02:53:18.471739+00:00,2024-09-15 02:53:23.232522+00:00,System_146
73,ReceiveParentsData,2024-09-15 02:53:23.232522+00:00,2024-09-15 02:53:23.232522+00:00,2024-09-15 20:44:23.953076+00:00,System_147
74,SendMailToParents,2024-09-15 02:53:48.987363+00:00,2024-09-15 02:53:48.987363+00:00,2024-09-15 02:53:52.587299+00:00,System_148
74,ReceiveParentsData,2024-09-15 02:53:52.587299+00:00,2024-09-15 02:53:52.587299+00:00,2024-09-18 13:17:03.354035+00:00,System_149
75,SendMailToParents,2024-09-15 02:54:11.568703+00:00,2024-09-15 02:54:11.568703+00:00,2024-09-15 02:54:14.395746+00:00,System_150
75,ReceiveParentsData,2024-09-15 02:54:14.395746+00:00,2024-09-15 02:54:14.395746+00:00,2024-09-21 04:51:19.231252+00:00,System_151
76,SendMailToParents,2024-09-15 02:54:56.538931+00:00,2024-09-15 02:54:56.538931+00:00,2024-09-15 02:54:59.788884+00:00,System_152
76,ReceiveParentsData,2024-09-15 02:54:59.788884+00:00,2024-09-15 02:54:59.788884+00:00,2024-09-17 17:38:00.777121+00:00,System_153
77,SendMailToParents,2024-09-15 02:55:56.995010+00:00,2024-09-15 02:55:56.995010+00:00,2024-09-15 02:56:00.680084+00:00,System_154
77,ReceiveParentsData,2024-09-15 02:56:00.680084+00:00,2024-09-15 02:56:00.680084+00:00,2024-09-22 20:46:18.485647+00:00,System_155
78,SendMailToParents,2024-09-15 03:00:33.532244+00:00,2024-09-15 03:00:33.532244+00:00,2024-09-15 03:00:36.674003+00:00,System_156
78,ReceiveParentsData,2024-09-15 03:00:36.674003+00:00,2024-09-15 03:00:36.674003+00:00,2024-09-18 09:46:21.444574+00:00,System_157
79,SendMailToParents,2024-09-15 03:03:44.884183+00:00,2024-09-15 03:03:44.884183+00:00,2024-09-15 03:03:48.224647+00:00,System_158
80,SendMailToParents,2024-09-15 03:03:47.407382+00:00,2024-09-15 03:03:47.407382+00:00,2024-09-15 03:03:50.402703+00:00,System_159
79,ReceiveParentsData,2024-09-15 03:03:48.224647+00:00,2024-09-15 03:03:48.224647+00:00,2024-09-18 17:19:45.808885+00:00,System_160
80,ReceiveParentsData,2024-09-15 03:03:50.402703+00:00,2024-09-15 03:03:50.402703+00:00,2024-09-22 13:54:20.849054+00:00,System_161
81,SendMailToParents,2024-09-15 03:05:20.769886+00:00,2024-09-15 03:05:20.769886+00:00,2024-09-15 03:05:22.831327+00:00,System_162
81,ReceiveParentsData,2024-09-15 03:05:22.831327+00:00,2024-09-15 03:05:22.831327+00:00,2024-09-15 06:32:47.767197+00:00,System_163
